name,frequency
Smith,0.01006
Johnson,0.008100000000000001
Williams,0.00699
Jones,0.00621
Brown,0.00621
Davis,0.0048
Miller,0.00424
Wilson,0.0033900000000000002
Moore,0.00312
Taylor,0.00311
Anderson,0.00311
Thomas,0.00311
Jackson,0.0031
White,0.0027900000000000004
Harris,0.0027500000000000003
Martin,0.0027300000000000002
Thompson,0.00269
Garcia,0.00254
Martinez,0.00234
Robinson,0.00233
Clark,0.00231
Rodriguez,0.00229
Lewis,0.00226
Lee,0.0022
Walker,0.00219
Hall,0.002
Allen,0.00199
Young,0.00193
Hernandez,0.00192
King,0.0019
Wright,0.00189
Lopez,0.00187
Hill,0.00187
Scott,0.00185
Green,0.00183
Adams,0.0017399999999999998
Baker,0.0017100000000000001
Gonzalez,0.00166
Nelson,0.0016200000000000001
Carter,0.0016200000000000001
Mitchell,0.0016
Perez,0.00155
Roberts,0.00153
Turner,0.0015199999999999999
Phillips,0.00149
Campbell,0.00149
Parker,0.00146
Evans,0.0014099999999999998
Edwards,0.0013700000000000001
Collins,0.00134
Stewart,0.00133
Sanchez,0.0013
Morris,0.00125
Rogers,0.00123
Reed,0.00122
Cook,0.0012
Morgan,0.0011799999999999998
Bell,0.00117
Murphy,0.00117
Bailey,0.00115
Rivera,0.00113
Cooper,0.00113
Richardson,0.0011200000000000001
Cox,0.0011
Howard,0.0011
Ward,0.00108
Torres,0.00108
Peterson,0.00107
Gray,0.00106
Ramirez,0.00105
James,0.00105
Watson,0.0010299999999999999
Brooks,0.0010299999999999999
Kelly,0.0010199999999999999
Sanders,0.001
Price,0.00099
Bennett,0.00099
Wood,0.00098
Barnes,0.00097
Ross,0.00096
Henderson,0.00095
Coleman,0.00095
Jenkins,0.00095
Perry,0.00094
Powell,0.0009299999999999999
Long,0.00092
Patterson,0.00092
Hughes,0.00092
Flores,0.00092
Washington,0.00092
Butler,0.00091
Simmons,0.00091
Foster,0.00091
Gonzales,0.0008699999999999999
Bryant,0.0008699999999999999
Alexander,0.0008500000000000001
Russell,0.0008500000000000001
Griffin,0.00084
Diaz,0.00084
Hayes,0.00083
Myers,0.00083
Ford,0.00082
Hamilton,0.00082
Graham,0.00082
Sullivan,0.0008100000000000001
Wallace,0.0008100000000000001
Woods,0.0008
Cole,0.0008
West,0.0008
Jordan,0.00078
Owens,0.00078
Reynolds,0.00078
Fisher,0.00077
Ellis,0.00077
Harrison,0.0007599999999999999
Gibson,0.00075
Mcdonald,0.00075
Cruz,0.00075
Marshall,0.00075
Ortiz,0.00075
Gomez,0.00075
Murray,0.00074
Freeman,0.00074
Wells,0.00073
Webb,0.0007199999999999999
Simpson,0.0007000000000000001
Stevens,0.0007000000000000001
Tucker,0.0007000000000000001
Porter,0.0006900000000000001
Hunter,0.0006900000000000001
Hicks,0.0006900000000000001
Crawford,0.00068
Henry,0.00068
Boyd,0.00068
Mason,0.00068
Morales,0.00067
Kennedy,0.00067
Warren,0.00067
Dixon,0.00066
Ramos,0.00066
Reyes,0.00066
Burns,0.00065
Gordon,0.00065
Shaw,0.00065
Holmes,0.00065
Rice,0.00064
Robertson,0.00064
Hunt,0.00063
Black,0.00063
Daniels,0.00062
Palmer,0.00062
Mills,0.00061
Nichols,0.0006
Grant,0.0006
Knight,0.0006
Ferguson,0.0005899999999999999
Rose,0.0005899999999999999
Stone,0.0005899999999999999
Hawkins,0.0005899999999999999
Dunn,0.00058
Perkins,0.00058
Hudson,0.00058
Spencer,0.00057
Gardner,0.00057
Stephens,0.00057
Payne,0.00057
Pierce,0.0005600000000000001
Berry,0.0005600000000000001
Matthews,0.0005600000000000001
Arnold,0.0005600000000000001
Wagner,0.00055
Willis,0.00055
Ray,0.00055
Watkins,0.00055
Olson,0.00055
Carroll,0.00055
Duncan,0.00055
Snyder,0.00055
Hart,0.00054
Cunningham,0.00054
Bradley,0.00054
Lane,0.00054
Andrews,0.00054
Ruiz,0.00054
Harper,0.00054
Fox,0.00053
Riley,0.00053
Armstrong,0.00053
Carpenter,0.00053
Weaver,0.00053
Greene,0.00053
Lawrence,0.00052
Elliott,0.00052
Chavez,0.00052
Sims,0.00052
Austin,0.00052
Peters,0.00052
Kelley,0.00052
Franklin,0.0005099999999999999
Lawson,0.0005099999999999999
Fields,0.0005099999999999999
Gutierrez,0.0005099999999999999
Ryan,0.0005099999999999999
Schmidt,0.0005099999999999999
Carr,0.0005099999999999999
Vasquez,0.0005099999999999999
Castillo,0.0005099999999999999
Wheeler,0.0005099999999999999
Chapman,0.0005
Oliver,0.0005
Montgomery,0.00049
Richards,0.00049
Williamson,0.00049
Johnston,0.00049
Banks,0.00048
Meyer,0.00048
Bishop,0.00048
Mccoy,0.00048
Howell,0.00048
Alvarez,0.00048
Morrison,0.00048
Hansen,0.00047
Fernandez,0.00047
Garza,0.00047
Harvey,0.00047
Little,0.00046
Burton,0.00046
Stanley,0.00046
Nguyen,0.00046
George,0.00046
Jacobs,0.00046
Reid,0.00046
Kim,0.00045
Fuller,0.00045
Lynch,0.00045
Dean,0.00045
Gilbert,0.00045
Garrett,0.00045
Romero,0.00045
Welch,0.00043999999999999996
Larson,0.00043999999999999996
Frazier,0.00043999999999999996
Burke,0.00043999999999999996
Hanson,0.00043
Day,0.00043
Mendoza,0.00043
Moreno,0.00043
Bowman,0.00043
Medina,0.00042
Fowler,0.00042
Brewer,0.00042
Hoffman,0.00042
Carlson,0.00042
Silva,0.00042
Pearson,0.00042
Holland,0.00042
Douglas,0.00041
Fleming,0.00041
Jensen,0.00041
Vargas,0.00041
Byrd,0.00041
Davidson,0.00041
Hopkins,0.00041
May,0.0004
Terry,0.0004
Herrera,0.0004
Wade,0.0004
Soto,0.0004
Walters,0.0004
Curtis,0.0004
Neal,0.00039
Caldwell,0.00039
Lowe,0.00039
Jennings,0.00039
Barnett,0.00039
Graves,0.00039
Jimenez,0.00039
Horton,0.00039
Shelton,0.00039
Barrett,0.00039
Obrien,0.00039
Castro,0.00039
Sutton,0.00037999999999999997
Gregory,0.00037999999999999997
Mckinney,0.00037999999999999997
Lucas,0.00037999999999999997
Miles,0.00037999999999999997
Craig,0.00037999999999999997
Rodriquez,0.00037
Chambers,0.00037
Holt,0.00037
Lambert,0.00037
Fletcher,0.00037
Watts,0.00037
Bates,0.00037
Hale,0.00037
Rhodes,0.00037
Pena,0.00037
Beck,0.00037
Newman,0.00035999999999999997
Haynes,0.00035999999999999997
Mcdaniel,0.00035999999999999997
Mendez,0.00035999999999999997
Bush,0.00035999999999999997
Vaughn,0.00035999999999999997
Parks,0.00035000000000000005
Dawson,0.00035000000000000005
Santiago,0.00035000000000000005
Norris,0.00035000000000000005
Hardy,0.00035000000000000005
Love,0.00035000000000000005
Steele,0.00035000000000000005
Curry,0.00035000000000000005
Powers,0.00035000000000000005
Schultz,0.00035000000000000005
Barker,0.00035000000000000005
Guzman,0.00034
Page,0.00034
Munoz,0.00034
Ball,0.00034
Keller,0.00034
Chandler,0.00034
Weber,0.00034
Leonard,0.00034
Walsh,0.00033
Lyons,0.00033
Ramsey,0.00033
Wolfe,0.00033
Schneider,0.00033
Mullins,0.00033
Benson,0.00033
Sharp,0.00033
Bowen,0.00033
Daniel,0.00033
Barber,0.00032
Cummings,0.00032
Hines,0.00032
Baldwin,0.00032
Griffith,0.00032
Valdez,0.00032
Hubbard,0.00032
Salazar,0.00032
Reeves,0.00032
Warner,0.00031
Stevenson,0.00031
Burgess,0.00031
Santos,0.00031
Tate,0.00031
Cross,0.00031
Garner,0.00031
Mann,0.00031
Mack,0.00031
Moss,0.00031
Thornton,0.00031
Dennis,0.00031
Mcgee,0.00031
Farmer,0.0003
Delgado,0.0003
Aguilar,0.0003
Vega,0.0003
Glover,0.0003
Manning,0.0003
Cohen,0.0003
Harmon,0.0003
Rodgers,0.0003
Robbins,0.0003
Newton,0.0003
Todd,0.0003
Blair,0.0003
Higgins,0.0003
Ingram,0.0003
Reese,0.0003
Cannon,0.0003
Strickland,0.0003
Townsend,0.0003
Potter,0.0003
Goodwin,0.0003
Walton,0.0003
Rowe,0.00029
Hampton,0.00029
Ortega,0.00029
Patton,0.00029
Swanson,0.00029
Joseph,0.00029
Francis,0.00029
Goodman,0.00029
Maldonado,0.00029
Yates,0.00029
Becker,0.00029
Erickson,0.00029
Hodges,0.00029
Rios,0.00029
Conner,0.00029
Adkins,0.00029
Webster,0.00028000000000000003
Norman,0.00028000000000000003
Malone,0.00028000000000000003
Hammond,0.00028000000000000003
Flowers,0.00028000000000000003
Cobb,0.00028000000000000003
Moody,0.00028000000000000003
Quinn,0.00028000000000000003
Blake,0.00028000000000000003
Maxwell,0.00028000000000000003
Pope,0.00028000000000000003
Floyd,0.00027
Osborne,0.00027
Paul,0.00027
Mccarthy,0.00027
Guerrero,0.00027
Lindsey,0.00027
Estrada,0.00027
Sandoval,0.00027
Gibbs,0.00027
Tyler,0.00027
Gross,0.00027
Fitzgerald,0.00027
Stokes,0.00027
Doyle,0.00027
Sherman,0.00027
Saunders,0.00027
Wise,0.00027
Colon,0.00027
Gill,0.00027
Alvarado,0.00027
Greer,0.00026
Padilla,0.00026
Simon,0.00026
Waters,0.00026
Nunez,0.00026
Ballard,0.00026
Schwartz,0.00026
Mcbride,0.00026
Houston,0.00026
Christensen,0.00026
Klein,0.00026
Pratt,0.00026
Briggs,0.00026
Parsons,0.00026
Mclaughlin,0.00026
Zimmerman,0.00026
French,0.00026
Buchanan,0.00026
Moran,0.00026
Copeland,0.00025
Roy,0.00025
Pittman,0.00025
Brady,0.00025
Mccormick,0.00025
Holloway,0.00025
Brock,0.00025
Poole,0.00025
Frank,0.00025
Logan,0.00025
Owen,0.00025
Bass,0.00025
Marsh,0.00025
Drake,0.00025
Wong,0.00025
Jefferson,0.00025
Park,0.00025
Morton,0.00025
Abbott,0.00025
Sparks,0.00025
Patrick,0.00024
Norton,0.00024
Huff,0.00024
Clayton,0.00024
Massey,0.00024
Lloyd,0.00024
Figueroa,0.00024
Carson,0.00024
Bowers,0.00024
Roberson,0.00024
Barton,0.00024
Tran,0.00024
Lamb,0.00024
Harrington,0.00024
Casey,0.00024
Boone,0.00024
Cortez,0.00024
Clarke,0.00024
Mathis,0.00024
Singleton,0.00024
Wilkins,0.00024
Cain,0.00024
Bryan,0.00024
Underwood,0.00024
Hogan,0.00024
Mckenzie,0.00023
Collier,0.00023
Luna,0.00023
Phelps,0.00023
Mcguire,0.00023
Allison,0.00023
Bridges,0.00023
Wilkerson,0.00023
Nash,0.00023
Summers,0.00023
Atkins,0.00023
Wilcox,0.00023
Pitts,0.00023
Conley,0.00023
Marquez,0.00023
Burnett,0.00023
Richard,0.00023
Cochran,0.00023
Chase,0.00023
Davenport,0.00023
Hood,0.00023
Gates,0.00023
Clay,0.00023
Ayala,0.00023
Sawyer,0.00023
Roman,0.00023
Vazquez,0.00023
Dickerson,0.00023
Hodge,0.00021999999999999998
Acosta,0.00021999999999999998
Flynn,0.00021999999999999998
Espinoza,0.00021999999999999998
Nicholson,0.00021999999999999998
Monroe,0.00021999999999999998
Wolf,0.00021999999999999998
Morrow,0.00021999999999999998
Kirk,0.00021999999999999998
Randall,0.00021999999999999998
Anthony,0.00021999999999999998
Whitaker,0.00021999999999999998
Oconnor,0.00021999999999999998
Skinner,0.00021999999999999998
Ware,0.00021999999999999998
Molina,0.00021999999999999998
Kirby,0.00021999999999999998
Huffman,0.00021999999999999998
Bradford,0.00021999999999999998
Charles,0.00021999999999999998
Gilmore,0.00021999999999999998
Dominguez,0.00021999999999999998
Oneal,0.00021999999999999998
Bruce,0.00021999999999999998
Lang,0.00021
Combs,0.00021
Kramer,0.00021
Heath,0.00021
Hancock,0.00021
Gallagher,0.00021
Gaines,0.00021
Shaffer,0.00021
Short,0.00021
Wiggins,0.00021
Mathews,0.00021
Mcclain,0.00021
Fischer,0.00021
Wall,0.00021
Small,0.00021
Melton,0.00021
Hensley,0.00021
Bond,0.00021
Dyer,0.00021
Cameron,0.00021
Grimes,0.00021
Contreras,0.00021
Christian,0.00021
Wyatt,0.00021
Baxter,0.00021
Snow,0.00021
Mosley,0.00021
Shepherd,0.00021
Larsen,0.00021
Hoover,0.00021
Beasley,0.0002
Glenn,0.0002
Petersen,0.0002
Whitehead,0.0002
Meyers,0.0002
Keith,0.0002
Garrison,0.0002
Vincent,0.0002
Shields,0.0002
Horn,0.0002
Savage,0.0002
Olsen,0.0002
Schroeder,0.0002
Hartman,0.0002
Woodard,0.0002
Mueller,0.0002
Kemp,0.0002
Deleon,0.0002
Booth,0.0002
Patel,0.0002
Calhoun,0.0002
Wiley,0.0002
Eaton,0.0002
Cline,0.0002
Navarro,0.0002
Harrell,0.0002
Lester,0.0002
Humphrey,0.0002
Parrish,0.0002
Duran,0.0002
Hutchinson,0.0002
Hess,0.0002
Dorsey,0.0002
Bullock,0.0002
Robles,0.0002
Beard,0.00018999999999999998
Dalton,0.00018999999999999998
Avila,0.00018999999999999998
Vance,0.00018999999999999998
Rich,0.00018999999999999998
Blackwell,0.00018999999999999998
York,0.00018999999999999998
Johns,0.00018999999999999998
Blankenship,0.00018999999999999998
Trevino,0.00018999999999999998
Salinas,0.00018999999999999998
Campos,0.00018999999999999998
Pruitt,0.00018999999999999998
Moses,0.00018999999999999998
Callahan,0.00018999999999999998
Golden,0.00018999999999999998
Montoya,0.00018999999999999998
Hardin,0.00018999999999999998
Guerra,0.00018999999999999998
Mcdowell,0.00018999999999999998
Carey,0.00018999999999999998
Stafford,0.00018999999999999998
Gallegos,0.00018999999999999998
Henson,0.00018999999999999998
Wilkinson,0.00018999999999999998
Booker,0.00018999999999999998
Merritt,0.00018999999999999998
Miranda,0.00018999999999999998
Atkinson,0.00018999999999999998
Orr,0.00018999999999999998
Decker,0.00018999999999999998
Hobbs,0.00018999999999999998
Preston,0.00018999999999999998
Tanner,0.00018999999999999998
Knox,0.00018999999999999998
Pacheco,0.00018999999999999998
Stephenson,0.00017999999999999998
Glass,0.00017999999999999998
Rojas,0.00017999999999999998
Serrano,0.00017999999999999998
Marks,0.00017999999999999998
Hickman,0.00017999999999999998
English,0.00017999999999999998
Sweeney,0.00017999999999999998
Strong,0.00017999999999999998
Prince,0.00017999999999999998
Mcclure,0.00017999999999999998
Conway,0.00017999999999999998
Walter,0.00017999999999999998
Roth,0.00017999999999999998
Maynard,0.00017999999999999998
Farrell,0.00017999999999999998
Lowery,0.00017999999999999998
Hurst,0.00017999999999999998
Nixon,0.00017999999999999998
Weiss,0.00017999999999999998
Trujillo,0.00017999999999999998
Ellison,0.00017999999999999998
Sloan,0.00017999999999999998
Juarez,0.00017999999999999998
Winters,0.00017999999999999998
Mclean,0.00017999999999999998
Randolph,0.00017999999999999998
Leon,0.00017999999999999998
Boyer,0.00017999999999999998
Villarreal,0.00017999999999999998
Mccall,0.00017999999999999998
Gentry,0.00017999999999999998
Carrillo,0.00017
Kent,0.00017
Ayers,0.00017
Lara,0.00017
Shannon,0.00017
Sexton,0.00017
Pace,0.00017
Hull,0.00017
Leblanc,0.00017
Browning,0.00017
Velasquez,0.00017
Leach,0.00017
Chang,0.00017
House,0.00017
Sellers,0.00017
Herring,0.00017
Noble,0.00017
Foley,0.00017
Bartlett,0.00017
Mercado,0.00017
Landry,0.00017
Durham,0.00017
Walls,0.00017
Barr,0.00017
Mckee,0.00017
Bauer,0.00017
Rivers,0.00017
Everett,0.00017
Bradshaw,0.00017
Pugh,0.00017
Velez,0.00017
Rush,0.00017
Estes,0.00017
Dodson,0.00017
Morse,0.00017
Sheppard,0.00017
Weeks,0.00017
Camacho,0.00017
Bean,0.00017
Barron,0.00017
Livingston,0.00017
Middleton,0.00016
Spears,0.00016
Branch,0.00016
Blevins,0.00016
Chen,0.00016
Kerr,0.00016
Mcconnell,0.00016
Hatfield,0.00016
Harding,0.00016
Ashley,0.00016
Solis,0.00016
Herman,0.00016
Frost,0.00016
Giles,0.00016
Blackburn,0.00016
William,0.00016
Pennington,0.00016
Woodward,0.00016
Finley,0.00016
Mcintosh,0.00016
Koch,0.00016
Best,0.00016
Solomon,0.00016
Mccullough,0.00016
Dudley,0.00016
Nolan,0.00016
Blanchard,0.00016
Rivas,0.00016
Brennan,0.00016
Mejia,0.00016
Kane,0.00016
Benton,0.00016
Joyce,0.00016
Buckley,0.00016
Haley,0.00016
Valentine,0.00016
Maddox,0.00016
Russo,0.00016
Mcknight,0.00016
Buck,0.00016
Moon,0.00016
Mcmillan,0.00016
Crosby,0.00016
Berg,0.00016
Dotson,0.00016
Mays,0.00016
Roach,0.00016
Church,0.00016
Chan,0.00016
Richmond,0.00016
Meadows,0.00016
Faulkner,0.00016
Oneill,0.00016
Knapp,0.00016
Kline,0.00015
Barry,0.00015
Ochoa,0.00015
Jacobson,0.00015
Gay,0.00015
Avery,0.00015
Hendricks,0.00015
Horne,0.00015
Shepard,0.00015
Hebert,0.00015
Cherry,0.00015
Cardenas,0.00015
Mcintyre,0.00015
Whitney,0.00015
Waller,0.00015
Holman,0.00015
Donaldson,0.00015
Cantu,0.00015
Terrell,0.00015
Morin,0.00015
Gillespie,0.00015
Fuentes,0.00015
Tillman,0.00015
Sanford,0.00015
Bentley,0.00015
Peck,0.00015
Key,0.00015
Salas,0.00015
Rollins,0.00015
Gamble,0.00015
Dickson,0.00015
Battle,0.00015
Santana,0.00015
Cabrera,0.00015
Cervantes,0.00015
Howe,0.00015
Hinton,0.00015
Hurley,0.00015
Spence,0.00015
Zamora,0.00015
Yang,0.00015
Mcneil,0.00015
Suarez,0.00015
Case,0.00015
Petty,0.00015
Gould,0.00015
Mcfarland,0.00015
Sampson,0.00015
Carver,0.00015
Bray,0.00015
Rosario,0.00015
Macdonald,0.00015
Stout,0.00015
Hester,0.00015
Melendez,0.00015
Dillon,0.00015
Farley,0.00015
Hopper,0.00015
Galloway,0.00015
Potts,0.00015
Bernard,0.00015
Joyner,0.00014000000000000001
Stein,0.00014000000000000001
Aguirre,0.00014000000000000001
Osborn,0.00014000000000000001
Mercer,0.00014000000000000001
Bender,0.00014000000000000001
Franco,0.00014000000000000001
Rowland,0.00014000000000000001
Sykes,0.00014000000000000001
Benjamin,0.00014000000000000001
Travis,0.00014000000000000001
Pickett,0.00014000000000000001
Crane,0.00014000000000000001
Sears,0.00014000000000000001
Mayo,0.00014000000000000001
Dunlap,0.00014000000000000001
Hayden,0.00014000000000000001
Wilder,0.00014000000000000001
Mckay,0.00014000000000000001
Coffey,0.00014000000000000001
Mccarty,0.00014000000000000001
Ewing,0.00014000000000000001
Cooley,0.00014000000000000001
Vaughan,0.00014000000000000001
Bonner,0.00014000000000000001
Cotton,0.00014000000000000001
Holder,0.00014000000000000001
Stark,0.00014000000000000001
Ferrell,0.00014000000000000001
Cantrell,0.00014000000000000001
Fulton,0.00014000000000000001
Lynn,0.00014000000000000001
Lott,0.00014000000000000001
Calderon,0.00014000000000000001
Rosa,0.00014000000000000001
Pollard,0.00014000000000000001
Hooper,0.00014000000000000001
Burch,0.00014000000000000001
Mullen,0.00014000000000000001
Fry,0.00014000000000000001
Riddle,0.00014000000000000001
Levy,0.00014000000000000001
David,0.00014000000000000001
Duke,0.00014000000000000001
Odonnell,0.00014000000000000001
Guy,0.00014000000000000001
Michael,0.00014000000000000001
Britt,0.00014000000000000001
Frederick,0.00014000000000000001
Daugherty,0.00014000000000000001
Berger,0.00014000000000000001
Dillard,0.00014000000000000001
Alston,0.00014000000000000001
Jarvis,0.00014000000000000001
Frye,0.00014000000000000001
Riggs,0.00014000000000000001
Chaney,0.00014000000000000001
Odom,0.00013
Duffy,0.00013
Fitzpatrick,0.00013
Valenzuela,0.00013
Merrill,0.00013
Mayer,0.00013
Alford,0.00013
Mcpherson,0.00013
Acevedo,0.00013
Donovan,0.00013
Barrera,0.00013
Albert,0.00013
Cote,0.00013
Reilly,0.00013
Compton,0.00013
Raymond,0.00013
Mooney,0.00013
Mcgowan,0.00013
Craft,0.00013
Cleveland,0.00013
Clemons,0.00013
Wynn,0.00013
Nielsen,0.00013
Baird,0.00013
Stanton,0.00013
Snider,0.00013
Rosales,0.00013
Bright,0.00013
Witt,0.00013
Stuart,0.00013
Hays,0.00013
Holden,0.00013
Rutledge,0.00013
Kinney,0.00013
Clements,0.00013
Castaneda,0.00013
Slater,0.00013
Hahn,0.00013
Emerson,0.00013
Conrad,0.00013
Burks,0.00013
Delaney,0.00013
Pate,0.00013
Lancaster,0.00013
Sweet,0.00013
Justice,0.00013
Tyson,0.00013
Sharpe,0.00013
Whitfield,0.00013
Talley,0.00013
Macias,0.00013
Irwin,0.00013
Burris,0.00013
Ratliff,0.00013
Mccray,0.00013
Madden,0.00013
Kaufman,0.00013
Beach,0.00013
Goff,0.00013
Cash,0.00013
Bolton,0.00013
Mcfadden,0.00013
Levine,0.00013
Good,0.00013
Byers,0.00013
Kirkland,0.00013
Kidd,0.00013
Workman,0.00013
Carney,0.00013
Dale,0.00013
Mcleod,0.00013
Holcomb,0.00013
England,0.00013
Finch,0.00013
Head,0.00012
Burt,0.00012
Hendrix,0.00012
Sosa,0.00012
Haney,0.00012
Franks,0.00012
Sargent,0.00012
Nieves,0.00012
Downs,0.00012
Rasmussen,0.00012
Bird,0.00012
Hewitt,0.00012
Lindsay,0.00012
Le,0.00012
Foreman,0.00012
Valencia,0.00012
Oneil,0.00012
Delacruz,0.00012
Vinson,0.00012
Dejesus,0.00012
Hyde,0.00012
Forbes,0.00012
Gilliam,0.00012
Guthrie,0.00012
Wooten,0.00012
Huber,0.00012
Barlow,0.00012
Boyle,0.00012
Mcmahon,0.00012
Buckner,0.00012
Rocha,0.00012
Puckett,0.00012
Langley,0.00012
Knowles,0.00012
Cooke,0.00012
Velazquez,0.00012
Whitley,0.00012
Noel,0.00012
Vang,0.00012
